Customer id,Customer name,Email,Phone,Join date,Age,Gender
e3e70682-c209-4cac-a29f-6fbed82c07cd,James Mann,shannon14@example.net,608-507-2079x63811,2021-01-28,44,Female
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Dr. Daniel Sharp,popeselena@example.net,771.262.2876,2020-03-03,68,Male
eb1167b3-67a9-4378-bc65-c1e582e2e662,Carlos Williams,eanderson@example.org,+1-469-455-3200x9465,2021-12-09,42,Male
f7c1bd87-4da5-4709-9471-3d60c8a70639,Chad Velez,ashleyrodriguez@example.net,(776)524-6732x8832,2023-05-30,58,Male
e443df78-9558-467f-9ba9-1faf7a024204,Leah Fisher,qbryan@example.net,539-233-8024x8117,2023-01-26,52,Male
23a7711a-8133-4876-b7eb-dcd9e87a1613,Hannah Mason,downsjennifer@example.org,949.338.6015x16834,2019-12-12,65,Male
1846d424-c17c-4279-a3c6-612f48268673,Sandra White,zimmermanjason@example.org,877-514-1366x23864,2023-11-21,30,Male
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Jennifer Yoder,wolfejoseph@example.net,844-386-9429,2023-01-30,36,Female
b4862b21-fb97-4435-8856-1712e8e5216a,Michael Jackson,brent42@example.org,258-528-0135x595,2022-09-06,49,Male
259f4329-e6f4-490b-9a16-4106cf6a659e,Bethany Gutierrez,heather40@example.net,(978)200-6855x179,2020-04-15,49,Male
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,William Medina,amygonzalez@example.net,9522964626,2021-08-04,33,Male
5487ce1e-af19-422a-99b8-a714e61a441c,Jason Davis,davidwatson@example.com,+1-217-627-3992x72426,2024-10-18,51,Female
5a921187-19c7-4df4-8f4f-f31e78de5857,Bryan Beard,enorris@example.com,6297575616,2023-03-07,64,Female
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Kathy Schwartz,lindsay58@example.com,219-720-1973x3413,2023-04-29,27,Female
8d723104-f773-43c1-b458-a748e9bb17bc,Adam Gonzalez,randy09@example.net,001-910-704-0530x470,2022-05-16,25,Male
85776e9a-dd84-439e-b154-5a137a1d5006,Mark Baker,harmonwilliam@example.net,+1-907-804-7800x6182,2021-10-25,69,Female
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Michael Reed,amandarodriguez@example.net,001-249-501-1832x862,2022-06-03,22,Male
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,Rebecca Adams,daltonchristopher@example.com,996-906-1211,2020-11-30,29,Female
b5d32b16-6619-4cb1-9710-37d1b83e90ec,Robert Perez,holly66@example.org,679.783.3973,2020-12-17,47,Female
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Carlos Dickerson,preynolds@example.net,+1-612-285-9402,2023-06-19,27,Female
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,Pamela Summers,bowmanryan@example.com,(827)241-8729x06116,2020-02-05,19,Female
baf3897a-3e70-416a-9548-5822de1b372a,Dean Peterson,wheelerdylan@example.org,(846)873-5703x307,2023-08-11,58,Female
101fbccc-ded7-43e8-b421-eaeb534097ca,Erin Blanchard,chughes@example.net,(332)722-9765x570,2020-11-28,44,Female
38c1962e-9148-424f-aac1-c14f30e9c5cc,Angel Vang,michael18@example.org,509-542-4175x2563,2020-02-04,63,Female
247a8333-f7b0-47d2-8da8-056c3d15eef7,Mark Jones,greenamber@example.com,2706942032,2021-11-30,23,Female
1759edc3-72ae-4244-8b01-63c1cd9d2b7d,John Brady,ricky10@example.net,893.267.2196,2024-03-04,43,Male
e005b860-51ef-4922-be43-c49e149818d1,Seth Morse,deanna35@example.org,494.410.2376x54114,2024-08-16,70,Male
7d41e602-eece-428b-bf7b-118e820865d6,Lauren Andrews,iwyatt@example.com,+1-786-894-6943,2023-11-24,55,Male
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,Brian Johnson,brice@example.net,886.605.3658x419,2022-10-05,40,Female
552f233a-8c25-466a-9ff3-9849b4e1357d,Michael Rose,kimberly16@example.com,831-426-3784,2023-09-16,68,Female
3405095c-8a50-46c1-ac18-8efbd080e66e,Timothy Myers,philip26@example.com,483-893-5553,2023-06-08,19,Female
8c1745a7-9a6a-4f92-8ca7-4147f6be1f72,Dawn Price,darryl55@example.com,001-627-477-5530x37373,2021-06-11,60,Female
1775336d-71ea-4d05-89a3-e80e966e1277,Michael Horton,craigday@example.org,+1-884-406-9994x578,2020-01-14,25,Male
5129fb7c-6288-41a5-8c45-782198a6416d,David Roberts,tcochran@example.org,(327)721-8289,2022-04-02,40,Female
2f120554-4a53-48cc-bdfa-bc08935ddd72,Evelyn Rose,frederickjoseph@example.net,+1-965-762-0477,2023-11-06,46,Female
0870e15c-2fcd-41b5-924b-ace4307bf326,Kelsey Cook,jason60@example.net,599.432.9634x4174,2021-06-09,59,Female
42930b33-a81a-4477-bb36-75b89cdeb3e6,George Gonzalez,ashleypeterson@example.net,3177023649,2023-11-20,32,Female
adc0da7a-16fe-4aa0-91af-923d79fdef7c,Alejandra Hogan,margarettownsend@example.com,926.447.7385x8950,2022-06-13,64,Male
2648ee38-e074-45eb-a156-63abc1f254b8,Elijah Garcia,joshuachandler@example.org,(663)576-4906x38162,2022-09-28,24,Female
148b2758-d7ab-4928-89e4-69e6ec62b2c8,Mrs. Heather Williams,sonya66@example.com,(838)494-9227x8035,2021-11-11,48,Male
d450fe4a-ec4f-417b-b306-d1a8e5eeac76,Elizabeth Smith,riveratravis@example.org,3518217379,2020-01-06,38,Male
d67e55fd-642b-4a42-aef9-c00b8a64c1b9,Jacob Morales,timothygarcia@example.net,(968)881-9085,2024-10-17,31,Female
85940927-468f-453d-864a-7a50b48d73f1,Mr. Matthew Jones,ncox@example.com,001-224-814-3222,2023-10-05,37,Male
37176e84-d977-4993-bc49-d76fcfc6e625,Christopher Cole,katherinepeters@example.com,+1-690-988-0750,2020-08-19,57,Male
d3447490-96fd-45d0-adf2-0806e5214606,John Richardson,snydermichael@example.net,+1-505-919-0718x82424,2021-09-04,61,Female
46743741-9466-4472-ab5f-5241f323ca74,Jackie Rodriguez,amcclure@example.com,236.754.2136,2023-08-23,67,Female
a425799a-a905-4750-be1e-a9c573581a81,Keith Phillips,wilcoxkelsey@example.org,001-918-574-8722,2020-07-11,18,Female
fb82860d-eabc-48d0-b341-facdff0ac0f1,Michael Burns,ffranklin@example.net,6202342097,2021-08-11,54,Male
5306f3f5-1516-4570-9b7c-709acb175a5a,Charles Owens,cfrank@example.net,(837)767-6456,2021-10-08,45,Male
964a870c-7c87-4b74-9d87-8f9f9cdf5a86,Elizabeth Brown,helen28@example.net,721.200.1191,2020-03-18,50,Female
30bcab0e-d857-4102-95d4-4936a1515607,Sean Beck,renee31@example.com,(693)815-6212x584,2024-06-04,59,Female
4562be7f-bb42-40b2-8426-465e3e37952d,Kimberly Johnson,tammycollier@example.com,001-249-355-3320x4643,2022-08-17,51,Male
5f3f5638-3870-4a14-b490-b6081dfc8352,Karen Smith,ajimenez@example.com,(458)559-1984,2024-06-27,19,Male
6d16ee18-5521-46dd-aba4-b180cb69ca38,Lori Dunn,scottbrian@example.com,001-408-784-4803,2020-05-19,70,Male
c87a7463-19c1-4a0d-8feb-d845d0dfae43,Raymond Simon,gfisher@example.com,276-972-8326,2022-08-19,39,Male
38018b47-b29a-4b06-9af6-6c5f2577bffa,Matthew David,harmonmichael@example.com,462.231.7873,2021-06-01,66,Male
a25b59fd-92e8-4269-912e-cbc40b9475b1,Kayla Young,roger49@example.org,+1-779-453-7759,2023-08-12,52,Male
9a27d858-88c1-42ad-afbf-c19ee8f6cf32,Tanya Deleon,wilsonnicholas@example.com,+1-329-391-8867,2021-03-24,52,Male
1fdb8b32-06d5-49e8-92f1-75ffae3b16ec,Mrs. Angela Flores,veronicabarajas@example.org,+1-489-434-2243x44098,2022-03-15,47,Male
d480865f-9b38-4e80-b042-e325a28f5ab0,Andrew Bridges,jeffrey00@example.com,374-766-1650,2020-09-16,22,Male
176ea1b1-6426-4cd5-9ea4-5cd69371a71f,Jennifer Stone,parkerdaniel@example.com,454.407.9699x208,2024-02-23,34,Male
1db53334-fb03-43a1-9576-d4155ec17dbe,Timothy Robinson,evansmelanie@example.org,001-200-561-6083,2023-08-15,35,Female
31d0b664-0589-4877-9b02-52440950fd13,Christina Coleman,tterrell@example.net,943-832-6561x999,2023-04-28,47,Male
b7d6467b-2f5a-422a-b87f-43fdf6062541,Joshua Miranda,hughesjennifer@example.org,+1-429-318-8419,2022-02-03,29,Male
ba26d851-35e8-479a-baaf-0e891fb797fa,Mrs. Mandy Barnett,mayowilliam@example.org,669.331.4163x75260,2023-03-06,57,Female
ade9b2b4-efdd-45f8-8fa3-4266ccfdba9b,Jean Morrison,howardtimothy@example.com,474-483-2897x12313,2020-10-08,54,Female
9edfa3da-6cf5-4b15-8b53-031d05d51433,Craig Davis,frenchkyle@example.org,+1-845-614-1979x636,2022-12-10,28,Female
11ebcd49-428a-4c22-95fd-b76a19fbeb1d,David Schmitt,icunningham@example.net,(714)409-6070x2146,2021-01-01,37,Male
4d125e7f-a59c-4c98-926c-bc8f38884479,Eric Munoz,mathew57@example.net,892-801-1117x3084,2021-05-28,22,Female
0fa07a3f-2e29-4065-afa2-31e959acdd98,Kerri Burke,parkmadison@example.net,742-347-0109x793,2023-10-08,34,Male
98b33c6e-0a14-490a-b795-e98680ee526e,Darrell Mckee,dorseytiffany@example.org,461-213-3242,2021-06-05,26,Male
642aad48-fcfc-4a81-b306-d70019d5f970,Timothy Nunez,richardsonmaria@example.org,766.810.8411x8775,2020-01-19,38,Male
e786ab37-5bca-47be-8298-17c53308fb2e,Jessica Scott,lewiscourtney@example.com,3028066063,2021-11-08,32,Female
e6fd68e8-d69c-41c2-b860-1602bb4a06cb,Michael Carpenter,andersonkelly@example.com,495.951.8556x80963,2021-03-13,48,Female
b29c467d-2b5f-4932-91dc-59efeb21a3f6,Dr. Amanda Harper,tgonzalez@example.org,203.812.3374,2020-09-18,32,Female
c470f0e7-f76f-4fb8-b412-fc12ac322c12,Beth Morrow,jennifer74@example.com,972.271.0858x24615,2024-04-24,33,Male
28805c5d-ad1b-4f60-89e4-dab20edc6d2b,Anne Barajas,dbyrd@example.com,+1-551-920-3237,2024-10-14,20,Male
878b9f6b-57a1-4b71-a975-d279d86dbf11,Jessica Berry,wilsonmarvin@example.org,257-982-5683x324,2022-09-11,44,Female
ebe21368-98c7-4205-9e01-a934402d0baf,Michael Mcclain,jeremy10@example.org,001-505-220-5017x21600,2024-05-02,49,Female
0361524c-2cc0-4859-aa65-24ab713b7e05,Deborah Mcintyre,danny97@example.net,001-475-882-4217x842,2021-03-23,59,Female
e66cd36e-68ef-4f5f-ae68-690a78bc7175,Brent Dawson,jwelch@example.org,714.796.6649x50994,2023-01-20,18,Female
eae2025e-8233-4e23-9ff3-334b91b15f5d,Christine Fischer,derek57@example.com,2559160960,2023-10-25,46,Female
637e0edc-5b6e-4ae7-a620-81434fbaecc0,Teresa Mosley,mitchellbeth@example.com,(731)511-5000x21522,2023-11-09,65,Female
27460f22-403d-4f83-a859-890cd670f668,Christina Mcgrath,dariusbates@example.com,+1-220-839-5640x643,2022-03-06,50,Female
753c7c99-032f-46ca-b0d9-c2aa8f837ef7,Jeffrey Hernandez,jamesperkins@example.net,337-821-6148x28924,2024-06-21,63,Male
bd30291a-55fe-408e-943e-2e04bdd7d19b,Jessica Carpenter,youngjon@example.org,+1-753-509-9529x297,2023-01-19,65,Female
2284b7a4-47e7-4593-8b58-85ca0bb2c3f0,Chelsea Page,kyle13@example.net,503-568-0348x9785,2020-09-03,19,Male
7b59051b-f400-48d7-831d-5a973d792fa1,Charles Nielsen,hhughes@example.org,+1-685-834-3962x1129,2023-12-17,49,Female
ac642b4c-49b2-4ded-9c31-d9b25a2b745b,George Gonzalez,david04@example.org,954-381-3751,2020-05-14,38,Female
e456697c-f268-4baa-971c-702d5bf49c04,Jonathan Greene,rossalbert@example.net,700-792-6856,2023-08-14,24,Male
21e15094-9efe-4464-9a90-f534a23d4c9d,James Robinson,tinaperkins@example.org,+1-701-202-1128x9196,2024-04-06,62,Female
bf9cc545-6355-48f7-8f6f-a985b732d46f,Ronald Graves,ramirezjustin@example.org,(255)754-8516x8570,2022-11-25,63,Male
14aa451c-a69c-4b85-9432-f8db6a174c1c,Justin Salazar,tyler34@example.net,3816454855,2024-11-08,54,Male
b2d650af-313b-42b7-9836-31890063e42f,Kevin Green,travismelton@example.com,383.605.3867x9461,2020-09-08,21,Male
391cf046-3d4a-4d51-a8fa-fd04559b5975,Michelle Rodriguez,qreed@example.net,6746700248,2022-12-12,70,Female
b5d97ef7-60ef-4471-b2b8-ff39a32c9b6f,Judy Williams,anna27@example.org,(950)281-1675x73747,2022-09-04,40,Female
dfe1b307-9172-4f0a-ac7c-8803e01bbf50,Ronald Walters,adrianrobles@example.net,(790)849-4995x00966,2021-06-03,24,Female
df26f517-66fa-4989-8813-5d586a1689ad,Rhonda Nguyen,etownsend@example.net,523-956-1782x129,2023-12-06,38,Female
c5adf681-6b10-453a-9145-de05b3ab1b2c,Michael Fisher,willie43@example.org,837-560-6078,2020-07-20,32,Female
2a69acc7-0bf9-40ef-b581-6b74a985ab61,Dan Scott,zjackson@example.com,822.393.1235x79870,2021-08-29,67,Female
b3969057-425c-4200-905a-da6b720299e3,Brian Davis,kelli23@example.net,243-885-9160,2022-10-26,55,Female
e28bc9ff-870f-484c-b244-f536285e25b4,Joyce Parker,nsmith@example.net,4266672321,2020-04-22,45,Male
9a9e4310-8fb8-4bab-a875-4cd37cbd7025,Heidi Garcia,bdavis@example.net,669-781-8298x83859,2022-07-25,60,Female
09f6048f-e245-4460-8004-884cc167733f,Katherine Stewart,anthony90@example.org,001-485-835-4438,2022-08-21,46,Male
d675ebf7-4fe3-4c9a-9371-0f577e9cf84f,Riley Morton,catherine73@example.org,5924059716,2020-09-11,50,Male
d29dc5df-cf1d-4110-8cc3-6d8c77863fe5,Dr. Julie Rogers,bvincent@example.org,+1-271-822-7347x923,2019-12-24,27,Male
6a46721a-cffa-4cdd-b963-a7efe00111e5,Nicholas Lopez,hsnyder@example.org,965-543-6360x0157,2022-01-06,51,Female
f689a4a5-ffda-4336-8c6e-90373020da5c,Caleb Perez,matthewwest@example.org,898.783.1202,2024-10-19,70,Male
d663049d-155e-48b1-ba83-ada4a2121ac5,Caroline Coleman,ariana41@example.com,(245)529-7967,2024-05-14,32,Female
03c54c71-fca0-4536-a169-df82b9bdee2d,Lee Moore,smithchristopher@example.net,(575)614-3490x8104,2023-08-20,22,Male
6ae04d52-adb3-48cb-b315-8c0c66dd7794,Veronica Warner,mendozaeric@example.org,(452)871-1682x10561,2020-01-17,26,Male
03a89879-36a9-4d74-80de-59f550f0fc2b,Kaylee Brown,laura45@example.org,+1-561-998-6095x708,2023-05-01,48,Male
faf1501b-009a-415b-8137-8be5b7a28e0a,Sarah Johnson,roybush@example.com,+1-334-213-4112x89626,2024-10-09,59,Male
9cb017c1-8741-4e91-acfe-bb4bd29e8693,Robert Walters,barnesmichelle@example.org,001-583-567-7620x8652,2021-09-06,18,Male
9bbd750d-1e70-4c52-b0c1-fb6a19086515,Katherine Curtis,crawfordadam@example.net,3177583171,2021-07-22,27,Female
4d6b234f-dfa7-46ed-b2d1-f81ba636425c,Leslie Allen,aaron22@example.com,825.706.6929,2021-01-27,67,Male
2ea60b99-fa7f-48bf-b044-284a47acf2f6,Lucas Marsh,johnnyrogers@example.com,267.807.3308x40854,2021-02-08,21,Male
ec3aa314-da9b-4017-b9c1-47c719a5711b,Debbie Brooks,williamsjoseph@example.net,816.833.9994x049,2023-03-08,50,Male
0597aab6-14d3-4dbc-a0ac-f4c9658de17e,Lori Smith,dannycarpenter@example.org,246.621.0733x4499,2024-07-15,18,Female
ccc14d51-73f6-40d8-a9f4-1cc04653a560,Matthew Gallagher,christinasheppard@example.com,882-494-3415,2021-04-26,58,Female
41a93f90-dc82-4527-9da3-b7e2cad6e514,Rebekah Best,ramirezmonica@example.net,(899)941-7498,2021-02-02,26,Male
